,layer_height,infill_density,nozzle_temperature,print_speed,roughness,infill_pattern_concentric,infill_pattern_grid,infill_pattern_honeycomb,infill_pattern_line,infill_pattern_rectilinear,infill_pattern_solid,infill_pattern_triangle,infill_pattern_zigzag,material_abs,material_pla,material_pla-aluminum,
33,0.15,50,240,60,289,0,0,1,0,0,0,0,0,1,0,0,1
34,0.15,80,250,60,326,0,1,0,0,0,0,0,0,1,0,0,1
35,0.15,80,200,60,192,0,0,1,0,0,0,0,0,0,1,0,1
36,0.15,50,205,60,212,0,1,0,0,0,0,0,0,0,1,0,1
37,0.15,30,210,60,168,0,0,1,0,0,0,0,0,0,1,0,1
38,0.15,40,215,60,172,0,1,0,0,0,0,0,0,0,1,0,1
39,0.15,10,220,60,163,0,0,1,0,0,0,0,0,0,1,0,1
40,0.2,80,220,40,212,0,1,0,0,0,0,0,0,1,0,0,1
41,0.2,90,225,40,276,0,0,1,0,0,0,0,0,1,0,0,1
42,0.2,30,230,40,298,0,1,0,0,0,0,0,0,1,0,0,1
43,0.2,90,240,40,360,0,0,1,0,0,0,0,0,1,0,0,1
44,0.2,80,250,40,357,0,1,0,0,0,0,0,0,1,0,0,1
45,0.2,60,200,40,321,0,0,1,0,0,0,0,0,0,1,0,1
46,0.2,20,205,40,265,0,1,0,0,0,0,0,0,0,1,0,1
47,0.2,60,210,40,278,0,0,1,0,0,0,0,0,0,1,0,1
48,0.2,40,215,40,244,0,1,0,0,0,0,0,0,0,1,0,1
49,0.2,60,220,40,220,0,0,1,0,0,0,0,0,0,1,0,1
136,0.2,30,195,100,16,0,0,0,0,0,0,0,1,0,1,0,1
137,0.2,30,205,100,15,0,0,0,0,0,0,0,1,0,1,0,1
138,0.2,30,220,100,18,0,0,0,0,0,0,0,1,0,1,0,1
139,0.1,30,195,100,14,0,0,0,0,0,0,0,1,0,1,0,1
140,0.15,30,195,100,16,0,0,0,0,0,0,0,1,0,1,0,1
141,0.2,30,195,100,17,0,0,0,0,0,0,0,1,0,1,0,1
142,0.2,30,195,100,18,0,0,0,0,0,0,0,1,0,1,0,1
143,0.2,30,195,100,16,0,0,0,0,0,0,0,1,0,1,0,1
144,0.2,30,195,100,15,0,0,0,0,0,0,0,1,0,1,0,1
145,0.2,30,195,90,15,0,0,0,0,0,0,0,1,0,1,0,1
146,0.2,30,195,120,15,0,0,0,0,0,0,0,1,0,1,0,1
147,0.2,30,195,150,15,0,0,0,0,0,0,0,1,0,1,0,1
148,0.2,30,195,100,16,0,0,1,0,0,0,0,0,0,1,0,1
149,0.2,30,195,100,13,0,0,0,0,0,0,1,0,0,1,0,1
150,0.2,30,195,100,16,0,0,0,0,0,0,0,1,0,1,0,1
151,0.2,20,195,100,14,0,0,0,0,0,0,0,1,0,1,0,1
152,0.2,35,195,100,16,0,0,0,0,0,0,0,1,0,1,0,1
153,0.2,50,195,100,14,0,0,0,0,0,0,0,1,0,1,0,1
154,0.1,100,240,100,6,0,0,0,0,0,0,0,1,1,0,0,1
155,0.15,100,240,100,9,0,0,0,0,0,0,0,1,1,0,0,1
156,0.2,100,240,100,13,0,0,0,0,0,0,0,1,1,0,0,1
157,0.1,100,240,100,11,0,0,0,0,0,0,0,1,1,0,0,1
158,0.15,100,240,100,11,0,0,0,0,0,0,0,1,1,0,0,1
159,0.2,100,240,100,15,0,0,0,0,0,0,0,1,1,0,0,1
160,0.1,100,240,100,9,0,0,0,0,0,0,0,1,1,0,0,1
161,0.15,100,240,100,10,0,0,0,0,0,0,0,1,1,0,0,1
162,0.2,100,240,100,13,0,0,0,0,0,0,0,1,1,0,0,1
260,0.15,30,200,80,3,0,1,0,0,0,0,0,0,0,1,0,1
261,0.15,30,200,80,3,0,1,0,0,0,0,0,0,0,1,0,1
262,0.15,30,200,80,3,0,1,0,0,0,0,0,0,0,1,0,1
263,0.15,30,200,80,3,0,1,0,0,0,0,0,0,0,1,0,1
264,0.15,30,200,80,3,0,1,0,0,0,0,0,0,0,1,0,1
265,0.15,60,200,80,3,0,1,0,0,0,0,0,0,0,1,0,1
266,0.15,60,200,80,4,0,1,0,0,0,0,0,0,0,1,0,1
267,0.15,60,200,80,2,0,1,0,0,0,0,0,0,0,1,0,1
268,0.15,60,200,80,2,0,1,0,0,0,0,0,0,0,1,0,1
269,0.15,60,200,80,2,0,1,0,0,0,0,0,0,0,1,0,1
270,0.15,30,200,80,3,0,0,0,0,0,0,0,1,0,1,0,1
271,0.15,30,200,80,3,0,0,0,0,0,0,0,1,0,1,0,1
272,0.15,30,200,80,3,0,0,0,0,0,0,0,1,0,1,0,1
273,0.15,30,200,80,3,0,0,0,0,0,0,0,1,0,1,0,1
274,0.15,30,200,80,2,0,0,0,0,0,0,0,1,0,1,0,1
275,0.15,50,200,80,4,0,0,0,0,0,0,0,1,0,1,0,1
276,0.15,50,200,80,4,0,0,0,0,0,0,0,1,0,1,0,1
277,0.15,50,200,80,3,0,0,0,0,0,0,0,1,0,1,0,1
278,0.15,50,200,80,3,0,0,0,0,0,0,0,1,0,1,0,1
279,0.15,50,200,80,3,0,0,0,0,0,0,0,1,0,1,0,1
280,0.15,20,200,80,3,1,0,0,0,0,0,0,0,0,1,0,1
281,0.15,20,200,80,3,1,0,0,0,0,0,0,0,0,1,0,1
282,0.15,20,200,80,3,1,0,0,0,0,0,0,0,0,1,0,1
283,0.15,20,200,80,4,1,0,0,0,0,0,0,0,0,1,0,1
284,0.15,20,200,80,3,1,0,0,0,0,0,0,0,0,1,0,1
285,0.15,30,200,80,3,1,0,0,0,0,0,0,0,0,1,0,1
286,0.15,30,200,80,4,1,0,0,0,0,0,0,0,0,1,0,1
287,0.15,30,200,80,3,1,0,0,0,0,0,0,0,0,1,0,1
288,0.15,30,200,80,3,1,0,0,0,0,0,0,0,0,1,0,1
289,0.15,30,200,80,2,1,0,0,0,0,0,0,0,0,1,0,1
290,0.15,10,200,80,3,0,0,0,0,0,0,1,0,0,1,0,1
291,0.15,10,200,80,4,0,0,0,0,0,0,1,0,0,1,0,1
292,0.15,10,200,80,4,0,0,0,0,0,0,1,0,0,1,0,1
293,0.15,10,200,80,5,0,0,0,0,0,0,1,0,0,1,0,1
294,0.15,10,200,80,4,0,0,0,0,0,0,1,0,0,1,0,1
295,0.15,40,200,80,3,0,0,0,0,0,0,1,0,0,1,0,1
296,0.15,40,200,80,4,0,0,0,0,0,0,1,0,0,1,0,1
297,0.15,40,200,80,4,0,0,0,0,0,0,1,0,0,1,0,1
298,0.15,40,200,80,4,0,0,0,0,0,0,1,0,0,1,0,1
299,0.15,40,200,80,3,0,0,0,0,0,0,1,0,0,1,0,1
362,0.2,100,200,30,6,0,0,0,1,0,0,0,0,0,0,1,1
363,0.2,100,200,60,4,0,0,0,1,0,0,0,0,0,0,1,1
364,0.2,100,200,90,4,0,0,0,1,0,0,0,0,0,0,1,1
365,0.3,100,200,30,3,0,0,0,1,0,0,0,0,0,0,1,1
366,0.3,100,200,60,4,0,0,0,1,0,0,0,0,0,0,1,1
367,0.3,100,200,90,9,0,0,0,1,0,0,0,0,0,0,1,1
368,0.4,100,200,30,9,0,0,0,1,0,0,0,0,0,0,1,1
369,0.4,100,200,60,13,0,0,0,1,0,0,0,0,0,0,1,1
370,0.4,100,200,90,10,0,0,0,1,0,0,0,0,0,0,1,1
376,0.05,40,195,30,8,0,1,0,0,0,0,0,0,0,1,0,1
377,0.25,40,195,30,18,0,1,0,0,0,0,0,0,0,1,0,1
378,0.05,40,205,30,5,0,1,0,0,0,0,0,0,0,1,0,1
379,0.25,40,205,30,19,0,1,0,0,0,0,0,0,0,1,0,1
380,0.05,40,195,50,4,0,1,0,0,0,0,0,0,0,1,0,1
381,0.25,40,195,50,17,0,1,0,0,0,0,0,0,0,1,0,1
382,0.05,40,205,50,7,0,1,0,0,0,0,0,0,0,1,0,1
383,0.25,40,205,50,18,0,1,0,0,0,0,0,0,0,1,0,1
384,0.05,40,195,30,6,0,1,0,0,0,0,0,0,0,1,0,1
385,0.25,40,195,30,18,0,1,0,0,0,0,0,0,0,1,0,1
386,0.05,40,205,30,7,0,1,0,0,0,0,0,0,0,1,0,1
387,0.25,40,205,30,12,0,1,0,0,0,0,0,0,0,1,0,1
388,0.05,40,195,50,5,0,1,0,0,0,0,0,0,0,1,0,1
389,0.25,40,195,50,13,0,1,0,0,0,0,0,0,0,1,0,1
390,0.05,40,205,50,6,0,1,0,0,0,0,0,0,0,1,0,1
391,0.25,40,205,50,13,0,1,0,0,0,0,0,0,0,1,0,1
392,0.15,40,200,40,8,0,1,0,0,0,0,0,0,0,1,0,1
393,0.15,40,200,40,7,0,1,0,0,0,0,0,0,0,1,0,1
394,0.15,40,200,40,6,0,1,0,0,0,0,0,0,0,1,0,1
439,0.1,10,200,50,18,0,1,0,0,0,0,0,0,1,0,0,1
440,0.1,10,200,50,16,0,1,0,0,0,0,0,0,1,0,0,1
441,0.1,10,200,50,15,0,1,0,0,0,0,0,0,1,0,0,1
442,0.1,20,200,60,16,0,1,0,0,0,0,0,0,1,0,0,1
443,0.1,20,200,60,17,0,1,0,0,0,0,0,0,1,0,0,1
444,0.1,20,200,60,16,0,1,0,0,0,0,0,0,1,0,0,1
445,0.1,30,200,70,19,0,1,0,0,0,0,0,0,1,0,0,1
446,0.1,30,200,70,18,0,1,0,0,0,0,0,0,1,0,0,1
447,0.1,30,200,70,16,0,1,0,0,0,0,0,0,1,0,0,1
448,0.15,10,200,60,20,0,1,0,0,0,0,0,0,1,0,0,1
449,0.15,10,200,60,16,0,1,0,0,0,0,0,0,1,0,0,1
450,0.15,10,200,60,15,0,1,0,0,0,0,0,0,1,0,0,1
451,0.15,20,200,70,20,0,1,0,0,0,0,0,0,1,0,0,1
452,0.15,20,200,70,16,0,1,0,0,0,0,0,0,1,0,0,1
453,0.15,20,200,70,15,0,1,0,0,0,0,0,0,1,0,0,1
454,0.15,30,200,50,18,0,1,0,0,0,0,0,0,1,0,0,1
455,0.15,30,200,50,18,0,1,0,0,0,0,0,0,1,0,0,1
456,0.15,30,200,50,15,0,1,0,0,0,0,0,0,1,0,0,1
457,0.2,10,200,70,14,0,1,0,0,0,0,0,0,1,0,0,1
458,0.2,10,200,70,19,0,1,0,0,0,0,0,0,1,0,0,1
459,0.2,10,200,70,16,0,1,0,0,0,0,0,0,1,0,0,1
460,0.2,20,200,50,16,0,1,0,0,0,0,0,0,1,0,0,1
461,0.2,20,200,50,18,0,1,0,0,0,0,0,0,1,0,0,1
462,0.2,20,200,50,19,0,1,0,0,0,0,0,0,1,0,0,1
463,0.2,30,200,60,18,0,1,0,0,0,0,0,0,1,0,0,1
464,0.2,30,200,60,16,0,1,0,0,0,0,0,0,1,0,0,1
465,0.2,30,200,60,16,0,1,0,0,0,0,0,0,1,0,0,1
466,0.1,10,200,60,22,0,1,0,0,0,0,0,0,1,0,0,1
467,0.25,10,220,40,6,0,0,1,0,0,0,0,0,0,1,0,1
468,0.25,10,220,40,2,0,0,1,0,0,0,0,0,0,1,0,1
469,0.25,10,220,120,7,0,0,1,0,0,0,0,0,0,1,0,1
470,0.25,10,220,120,2,0,0,1,0,0,0,0,0,0,1,0,1
471,0.1,10,220,80,1,0,0,1,0,0,0,0,0,0,1,0,1
472,0.1,10,220,80,1,0,0,1,0,0,0,0,0,0,1,0,1
473,0.4,10,220,80,4,0,0,1,0,0,0,0,0,0,1,0,1
474,0.4,10,220,80,3,0,0,1,0,0,0,0,0,0,1,0,1
475,0.1,10,220,40,6,0,0,1,0,0,0,0,0,0,1,0,1
476,0.1,10,220,120,1,0,0,1,0,0,0,0,0,0,1,0,1
477,0.4,10,220,40,9,0,0,1,0,0,0,0,0,0,1,0,1
478,0.4,10,220,120,9,0,0,1,0,0,0,0,0,0,1,0,1
479,0.25,10,220,80,5,0,0,1,0,0,0,0,0,0,1,0,1
480,0.25,10,220,80,4,0,0,1,0,0,0,0,0,0,1,0,1
481,0.25,10,220,80,5,0,0,1,0,0,0,0,0,0,1,0,1
482,0.25,10,220,80,5,0,0,1,0,0,0,0,0,0,1,0,1
483,0.2,100,215,20,21,0,0,0,0,0,1,0,0,0,1,0,1
484,0.2,100,200,25,22,0,0,0,0,0,1,0,0,0,1,0,1
485,0.1,100,200,20,6,0,0,0,0,0,1,0,0,0,1,0,1
486,0.3,100,200,30,20,0,0,0,0,0,1,0,0,0,1,0,1
487,0.1,100,230,30,9,0,0,0,0,0,1,0,0,0,1,0,1
488,0.2,100,215,25,23,0,0,0,0,0,1,0,0,0,1,0,1
489,0.2,100,215,25,22,0,0,0,0,0,1,0,0,0,1,0,1
490,0.1,100,230,20,6,0,0,0,0,0,1,0,0,0,1,0,1
491,0.2,100,215,25,22,0,0,0,0,0,1,0,0,0,1,0,1
492,0.3,100,200,20,15,0,0,0,0,0,1,0,0,0,1,0,1
493,0.2,100,215,25,22,0,0,0,0,0,1,0,0,0,1,0,1
494,0.2,100,215,25,10,0,0,0,0,0,1,0,0,0,1,0,1
495,0.3,100,230,20,15,0,0,0,0,0,1,0,0,0,1,0,1
496,0.1,100,230,30,28,0,0,0,0,0,1,0,0,0,1,0,1
497,0.1,100,200,20,29,0,0,0,0,0,1,0,0,0,1,0,1
498,0.1,100,230,20,13,0,0,0,0,0,1,0,0,0,1,0,1
499,0.1,100,230,20,25,0,0,0,0,0,1,0,0,0,1,0,1
500,0.1,100,200,20,13,0,0,0,0,0,1,0,0,0,1,0,1
501,0.2,100,215,25,23,0,0,0,0,0,1,0,0,0,1,0,1
502,0.2,100,215,25,22,0,0,0,0,0,1,0,0,0,1,0,1
503,0.3,100,230,30,20,0,0,0,0,0,1,0,0,0,1,0,1
504,0.3,100,200,20,39,0,0,0,0,0,1,0,0,0,1,0,1
505,0.1,100,200,30,15,0,0,0,0,0,1,0,0,0,1,0,1
506,0.3,100,200,30,50,0,0,0,0,0,1,0,0,0,1,0,1
507,0.3,100,230,30,30,0,0,0,0,0,1,0,0,0,1,0,1
508,0.1,100,230,30,15,0,0,0,0,0,1,0,0,0,1,0,1
509,0.3,100,230,20,48,0,0,0,0,0,1,0,0,0,1,0,1
510,0.1,100,200,30,28,0,0,0,0,0,1,0,0,0,1,0,1
511,0.1,100,200,30,9,0,0,0,0,0,1,0,0,0,1,0,1
512,0.1,100,200,20,25,0,0,0,0,0,1,0,0,0,1,0,1
513,0.3,100,200,30,30,0,0,0,0,0,1,0,0,0,1,0,1
514,0.3,100,200,20,47,0,0,0,0,0,1,0,0,0,1,0,1
515,0.3,100,230,30,50,0,0,0,0,0,1,0,0,0,1,0,1
516,0.3,100,215,25,28,0,0,0,0,0,1,0,0,0,1,0,1
517,0.1,100,215,25,14,0,0,0,0,0,1,0,0,0,1,0,1
518,0.1,100,230,30,31,0,0,0,0,0,1,0,0,0,1,0,1
519,0.3,100,200,20,27,0,0,0,0,0,1,0,0,0,1,0,1
520,0.2,100,215,25,27,0,0,0,0,0,1,0,0,0,1,0,1
521,0.2,100,215,25,33,0,0,0,0,0,1,0,0,0,1,0,1
522,0.3,100,230,20,39,0,0,0,0,0,1,0,0,0,1,0,1
523,0.2,100,215,30,24,0,0,0,0,0,1,0,0,0,1,0,1
524,0.2,100,215,25,22,0,0,0,0,0,1,0,0,0,1,0,1
525,0.2,100,215,25,30,0,0,0,0,0,1,0,0,0,1,0,1
526,0.1,100,230,20,29,0,0,0,0,0,1,0,0,0,1,0,1
527,0.2,100,215,25,22,0,0,0,0,0,1,0,0,0,1,0,1
528,0.3,100,230,30,43,0,0,0,0,0,1,0,0,0,1,0,1
529,0.3,100,200,30,43,0,0,0,0,0,1,0,0,0,1,0,1
530,0.3,100,230,20,27,0,0,0,0,0,1,0,0,0,1,0,1
531,0.2,100,230,25,23,0,0,0,0,0,1,0,0,0,1,0,1
532,0.1,100,200,30,31,0,0,0,0,0,1,0,0,0,1,0,1
533,0.3,10,200,90,1,0,0,0,0,1,0,0,0,1,0,0,1
534,0.3,10,230,90,1,0,0,0,0,1,0,0,0,1,0,0,1
535,0.3,10,200,90,1,0,0,0,0,1,0,0,0,1,0,0,1
536,0.3,10,230,90,1,0,0,0,0,1,0,0,0,1,0,0,1
537,0.3,10,200,60,1,0,0,0,0,1,0,0,0,1,0,0,1
538,0.3,10,230,60,1,0,0,0,0,1,0,0,0,1,0,0,1
539,0.3,10,200,120,1,0,0,0,0,1,0,0,0,1,0,0,1
540,0.3,10,230,120,1,0,0,0,0,1,0,0,0,1,0,0,1
541,0.3,10,215,60,1,0,0,0,0,1,0,0,0,1,0,0,1
542,0.3,10,215,60,1,0,0,0,0,1,0,0,0,1,0,0,1
543,0.3,10,215,120,2,0,0,0,0,1,0,0,0,1,0,0,1
544,0.3,10,215,120,1,0,0,0,0,1,0,0,0,1,0,0,1
545,0.3,10,215,90,1,0,0,0,0,1,0,0,0,1,0,0,1
546,0.3,10,215,90,1,0,0,0,0,1,0,0,0,1,0,0,1
547,0.3,10,215,90,1,0,0,0,0,1,0,0,0,1,0,0,1
574,0.1,100,240,30,56,0,0,0,0,0,1,0,0,1,0,0,1
575,0.1,100,240,30,56,0,0,0,0,0,1,0,0,1,0,0,1
576,0.1,100,240,30,55,0,0,0,0,0,1,0,0,1,0,0,1
577,0.1,100,240,30,15,0,0,0,0,0,1,0,0,1,0,0,1
578,0.1,100,240,30,18,0,0,0,0,0,1,0,0,1,0,0,1
579,0.1,100,240,30,18,0,0,0,0,0,1,0,0,1,0,0,1
580,0.1,100,240,30,20,0,0,0,0,0,1,0,0,1,0,0,1
581,0.1,100,240,30,64,0,0,0,0,0,1,0,0,1,0,0,1
582,0.1,100,240,30,62,0,0,0,0,0,1,0,0,1,0,0,1
583,0.1,100,240,30,25,0,0,0,0,0,1,0,0,1,0,0,1
584,0.1,100,240,30,18,0,0,0,0,0,1,0,0,1,0,0,1
585,0.1,10,195,30,8,0,1,0,0,0,0,0,0,0,1,0,1
586,0.1,10,195,30,9,0,1,0,0,0,0,0,0,0,1,0,1
587,0.1,10,205,30,8,0,1,0,0,0,0,0,0,0,1,0,1
588,0.1,20,205,30,9,0,1,0,0,0,0,0,0,0,1,0,1
589,0.3,20,195,30,23,0,1,0,0,0,0,0,0,0,1,0,1
590,0.3,20,195,30,22,0,1,0,0,0,0,0,0,0,1,0,1
591,0.3,30,205,30,21,0,1,0,0,0,0,0,0,0,1,0,1
592,0.3,30,205,30,22,0,1,0,0,0,0,0,0,0,1,0,1
593,0.1,30,195,50,8,0,1,0,0,0,0,0,0,0,1,0,1
594,0.1,10,195,50,9,0,1,0,0,0,0,0,0,0,1,0,1
595,0.1,10,205,50,9,0,1,0,0,0,0,0,0,0,1,0,1
596,0.1,10,205,50,9,0,1,0,0,0,0,0,0,0,1,0,1
597,0.3,20,195,50,22,0,1,0,0,0,0,0,0,0,1,0,1
598,0.3,20,195,50,22,0,1,0,0,0,0,0,0,0,1,0,1
599,0.3,20,205,50,22,0,1,0,0,0,0,0,0,0,1,0,1
600,0.3,30,205,50,22,0,1,0,0,0,0,0,0,0,1,0,1
601,0.2,30,200,40,14,0,1,0,0,0,0,0,0,0,1,0,1
602,0.2,30,200,40,14,0,1,0,0,0,0,0,0,0,1,0,1
603,0.2,10,200,40,14,0,1,0,0,0,0,0,0,0,1,0,1
604,0.06,20,210,50,3,0,0,0,0,0,0,1,0,0,1,0,1
605,0.06,50,210,100,3,0,0,0,0,0,0,1,0,0,1,0,1
606,0.06,100,210,150,4,0,0,0,0,0,0,1,0,0,1,0,1
607,0.1,20,210,100,4,0,0,0,0,0,0,1,0,0,1,0,1
608,0.1,50,210,150,5,0,0,0,0,0,0,1,0,0,1,0,1
609,0.1,100,210,50,11,0,0,0,0,0,0,1,0,0,1,0,1
610,0.2,20,210,150,10,0,0,0,0,0,0,1,0,0,1,0,1
611,0.2,50,210,50,8,0,0,0,0,0,0,1,0,0,1,0,1
612,0.2,100,210,100,8,0,0,0,0,0,0,1,0,0,1,0,1
0,0.2,70,280,100,2,0,0,0,0,0,0,0,0,0,0,0,0
1,0.2,80,280,100,2,0,0,0,0,0,0,0,0,0,0,0,0
2,0.2,90,280,100,2,0,0,0,0,0,0,0,0,0,0,0,0
3,0.2,70,290,100,2,0,0,1,0,0,0,0,0,0,0,0,1
4,0.2,80,290,100,2,0,0,1,0,0,0,0,0,0,0,0,1
5,0.2,90,290,100,2,0,0,1,0,0,0,0,0,0,0,0,1
6,0.2,70,300,100,2,0,1,0,0,0,0,0,0,0,0,0,1
7,0.2,80,300,100,2,0,1,0,0,0,0,0,0,0,0,0,1
8,0.2,90,300,100,2,0,1,0,0,0,0,0,0,0,0,0,1
9,0.3,70,280,100,3,0,1,0,0,0,0,0,0,0,0,0,1
10,0.3,80,280,100,2,0,1,0,0,0,0,0,0,0,0,0,1
11,0.3,90,280,100,3,0,1,0,0,0,0,0,0,0,0,0,1
12,0.3,70,290,100,3,0,0,0,0,0,0,0,0,0,0,0,0
13,0.3,80,290,100,3,0,0,0,0,0,0,0,0,0,0,0,0
14,0.3,90,290,100,3,0,0,0,0,0,0,0,0,0,0,0,0
15,0.3,70,300,100,3,0,0,1,0,0,0,0,0,0,0,0,1
16,0.3,80,300,100,3,0,0,1,0,0,0,0,0,0,0,0,1
17,0.3,90,300,100,3,0,0,1,0,0,0,0,0,0,0,0,1
18,0.4,70,280,100,3,0,0,1,0,0,0,0,0,0,0,0,1
19,0.4,80,280,100,3,0,0,1,0,0,0,0,0,0,0,0,1
20,0.4,90,280,100,3,0,0,1,0,0,0,0,0,0,0,0,1
21,0.4,70,290,100,3,0,1,0,0,0,0,0,0,0,0,0,1
22,0.4,80,290,100,3,0,1,0,0,0,0,0,0,0,0,0,1
23,0.4,90,290,100,3,0,1,0,0,0,0,0,0,0,0,0,1
24,0.4,70,300,100,3,0,0,0,0,0,0,0,0,0,0,0,0
25,0.4,80,300,100,2,0,0,0,0,0,0,0,0,0,0,0,0
26,0.4,90,300,100,2,0,0,0,0,0,0,0,0,0,0,0,0
27,0.1,30,210,60,2,0,0,0,1,0,0,0,0,1,0,0.2,1
28,0.1,10,230,70,2,0,0,0,1,0,0,0,0,1,0,0,1
29,0.1,64,250,80,2,0,0,0,1,0,0,0,0,1,0,0,1
30,0.1,22,210,70,2,0,0,0,0,0,0,1,0,1,0,0,1
31,0.1,10,230,80,3,0,0,0,0,0,0,1,0,1,0,0,1
32,0.1,64,250,60,2,0,0,0,0,0,0,1,0,1,0,0,1
33,0.1,38,210,80,2,0,0,0,0,0,0,0,0,1,0,0,0
34,0.1,12,230,60,2,0,0,0,0,0,0,0,0,1,0,0,0
35,0.1,10,250,70,2,0,0,0,0,0,0,0,0,1,0,0,0
36,0.15,10,225,80,14,0,0,0,0,0,0,0,1,0,1,0,1
37,0.15,10,225,80,16,0,1,0,0,0,0,0,0,0,1,0,1
38,0.15,10,225,80,21,0,0,0,0,0,0,0,1,0,1,0,1
39,0.15,10,225,80,16,1,0,0,0,0,0,0,0,0,1,0,1
40,0.15,10,225,80,16,1,0,0,0,0,0,0,0,0,1,0,1
41,0.15,10,225,80,16,0,0,0,0,0,0,0,1,0,1,0,1
42,0.15,10,225,80,14,0,1,0,0,0,0,0,0,0,1,0,1
43,0.15,10,225,80,19,1,0,0,0,0,0,0,0,0,1,0,1
44,0.15,10,225,80,16,0,0,0,0,0,0,0,1,0,1,0,1
45,0.15,10,225,80,17,1,0,0,0,0,0,0,0,0,1,0,1
46,0.15,10,225,80,16,0,1,0,0,0,0,0,0,0,1,0,1
47,0.15,10,225,80,17,0,1,0,0,0,0,0,0,0,1,0,1
48,0.15,10,225,80,13,1,0,0,0,0,0,0,0,0,1,0,1
49,0.15,10,225,80,19,0,0,0,0,0,0,0,1,0,1,0,1
50,0.15,10,225,80,18,0,1,0,0,0,0,0,0,0,1,0,1
51,0.05,40,195,30,8,0,1,0,0,0,0,0,0,0,1,0,1
52,0.25,60,195,30,18,0,1,0,0,0,0,0,0,0,1,0,1
53,0.05,42,205,30,5,0,1,0,0,0,0,0,0,0,1,0.2,1
54,0.25,78,205,30,18826,0,1,0,0,0,0,0,0,0,1,0,1
55,0.05,38,195,50,4,0,1,0,0,0,0,0,0,0,1,0,1
56,0.25,28,195,50,17,0,1,0,0,0,0,0,0,0,1,0,1
57,0.05,36,205,50,7,0,1,0,0,0,0,0,0,0,1,0,1
58,0.25,32,205,50,18,0,1,0,0,0,0,0,0,0,1,0,1
59,0.05,40,195,30,6,0,1,0,0,0,0,0,0,0,1,0,1
60,0.25,60,195,30,18,0,1,0,0,0,0,0,0,0,1,0,1
61,0.05,30,205,30,7,0,1,0,0,0,0,0,0,0,1,0,1
62,0.25,42,205,30,12,0,1,0,0,0,0,0,0,0,1,0,1
63,0.05,38,195,50,5,0,1,0,0,0,0,0,0,0,1,0,1
64,0.25,32,195,50,13,0,1,0,0,0,0,0,0,0,1,0,1
65,0.05,32,205,50,6,0,1,0,0,0,0,0,0,0,1,0,1
66,0.25,78,205,50,13149,0,1,0,0,0,0,0,0,0,1,0,1
